State,Term,Lag,Correlation,P-Value,N
Alabama,Influenza A virus,lag_0w,0.6077022320626615,5.277702050109761e-52,502
Alabama,Influenza A virus,lag_1w,0.6129834959654985,5.081215167986583e-53,501
Alabama,Influenza A virus,lag_2w,0.6150704184127391,2.303464230545747e-53,500
Alabama,Influenza A virus,lag_3w,0.6204679610235377,1.987624542333976e-54,499
Alabama,Influenza A virus,lag_4w,0.6135180651599422,7.955575640006263e-53,498
Alabama,Influenza A virus,lag_5w,0.5795439347481484,6.267189748157619e-46,497
Alabama,Influenza A virus,lag_6w,0.5303942452207102,2.4695763337107156e-37,496
Alabama,Influenza A virus,lag_7w,0.46598066363555735,4.755854173802941e-28,495
Alabama,Flu,lag_0w,0.03619683242178246,0.4183734282454142,502
Alabama,Flu,lag_1w,0.06299443019588988,0.15916579804272302,501
Alabama,Flu,lag_2w,0.09532005363290574,0.03309403691635929,500
Alabama,Flu,lag_3w,0.1356211446207363,0.002397494048528025,499
Alabama,Flu,lag_4w,0.1664228721004978,0.00019102959375490026,498
Alabama,Flu,lag_5w,0.20135024304561316,6.0706890938065485e-06,497
Alabama,Flu,lag_6w,0.23786742729944588,8.260954951113644e-08,496
Alabama,Flu,lag_7w,0.26079317205013175,3.86572833878288e-09,495
Alabama,Influenza,lag_0w,0.08290478293962605,0.06344260061678622,502
Alabama,Influenza,lag_1w,0.11461964440479823,0.01024071785907901,501
Alabama,Influenza,lag_2w,0.1479357745619651,0.0009068439445631824,500
Alabama,Influenza,lag_3w,0.18843795964904128,2.2668422271133483e-05,499
Alabama,Influenza,lag_4w,0.22218510354822268,5.48439653131797e-07,498
Alabama,Influenza,lag_5w,0.259983891130544,4.033488862371485e-09,497
Alabama,Influenza,lag_6w,0.29877824613824955,1.0975318972893606e-11,496
Alabama,Influenza,lag_7w,0.3206900185119467,2.6549030993073995e-13,495
Alabama,Type A influenza,lag_0w,0.07706110989785014,0.08455576406858206,502
Alabama,Type A influenza,lag_1w,0.08886016151856556,0.04681994352731375,501
Alabama,Type A influenza,lag_2w,0.11447345570114276,0.010415414780859826,500
Alabama,Type A influenza,lag_3w,0.13766267370431665,0.002055282580493794,499
Alabama,Type A influenza,lag_4w,0.14668671531320465,0.0010270967028032328,498
Alabama,Type A influenza,lag_5w,0.15554151669990057,0.0005013477750776037,497
Alabama,Type A influenza,lag_6w,0.159354115635368,0.00036688906324992935,496
Alabama,Type A influenza,lag_7w,0.1746768312220696,9.361833569031254e-05,495
Alaska,Influenza A virus,lag_0w,0.40199073730860035,6.4107251039590775e-21,502
Alaska,Influenza A virus,lag_1w,0.3947651239637464,3.933704041732521e-20,501
Alaska,Influenza A virus,lag_2w,0.3873210465661159,2.4172457592840284e-19,500
Alaska,Influenza A virus,lag_3w,0.3708461965266285,1.0275988696656713e-17,499
Alaska,Influenza A virus,lag_4w,0.3402174216513385,5.843487172019166e-15,498
Alaska,Influenza A virus,lag_5w,0.289729908185634,4.561735168320487e-11,497
Alaska,Influenza A virus,lag_6w,0.254495084501785,9.00432589820729e-09,496
Alaska,Influenza A virus,lag_7w,0.23060147941750495,2.1294464120345506e-07,495
Alaska,Flu,lag_0w,0.27632819683491033,2.9985789214636313e-10,502
Alaska,Flu,lag_1w,0.2723948416849042,5.667821345545657e-10,501
Alaska,Flu,lag_2w,0.27102101288648006,7.241531884763143e-10,500
