,date,Flu,Influenza,Influenza A virus,Symptoms of influenza,Influenza symptoms,Type A influenza,Flu treatment,Influenza vaccine,Cough,hosp_Alabama,hosp_Alaska,hosp_Arizona,hosp_Arkansas,hosp_California,hosp_Colorado,hosp_Connecticut,hosp_Delaware,hosp_District of Columbia,hosp_Florida,hosp_Georgia,hosp_Hawaii,hosp_Idaho,hosp_Illinois,hosp_Indiana,hosp_Iowa,hosp_Kansas,hosp_Kentucky,hosp_Louisiana,hosp_Maine,hosp_Maryland,hosp_Massachusetts,hosp_Michigan,hosp_Minnesota,hosp_Mississippi,hosp_Missouri,hosp_Montana,hosp_Nebraska,hosp_Nevada,hosp_New Hampshire,hosp_New Jersey,hosp_New Mexico,hosp_New York,hosp_North Carolina,hosp_North Dakota,hosp_Ohio,hosp_Oklahoma,hosp_Oregon,hosp_Pennsylvania,hosp_Puerto Rico,hosp_Rhode Island,hosp_South Carolina,hosp_South Dakota,hosp_Tennessee,hosp_Texas,hosp_US,hosp_Utah,hosp_Vermont,hosp_Virginia,hosp_Washington,hosp_West Virginia,hosp_Wisconsin,hosp_Wyoming,file_name
0,2015-07-04,80.0,2439.8571428571427,604.1428571428571,2.0,1.1428571428571428,0.5714285714285714,2.4285714285714284,308.7142857142857,837.1428571428571,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,5.0,16.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,15.0,14.0,0.0,184.0,30.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,37.0,78.0,13.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,64.0,335.0,2.0,5.0,0.0,0.0,0.0,14.0,0.0,hospitalizations-2025-02-12.csv
1,2015-07-11,84.42857142857143,2398.428571428572,488.2857142857143,1.2857142857142858,2.2857142857142856,1.0,2.7142857142857144,300.2857142857143,819.1428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,37.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,hospitalizations-2025-02-12.csv
2,2015-07-18,70.71428571428571,2259.0,427.4285714285714,1.7142857142857142,1.7142857142857142,1.4285714285714286,2.2857142857142856,284.2857142857143,755.7142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,6.0,0.0,0.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,15.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,hospitalizations-2025-02-12.csv
3,2015-07-25,78.28571428571429,2443.714285714286,470.8571428571428,2.142857142857143,1.0,0.4285714285714285,4.285714285714286,306.85714285714283,775.4285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,96.0,2.0,0.0,0.0,1.0,4.0,7.0,0.0,0.0,0.0,29.0,59.0,15.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,hospitalizations-2025-02-12.csv
4,2015-08-01,84.85714285714286,2444.1428571428573,470.7142857142857,1.4285714285714286,2.571428571428572,0.2857142857142857,2.4285714285714284,301.2857142857143,749.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,6.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,hospitalizations-2025-02-12.csv
5,2015-08-08,85.42857142857143,2425.428571428572,518.2857142857143,2.857142857142857,1.8571428571428568,1.2857142857142858,2.7142857142857144,326.85714285714283,767.5714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,48.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,hospitalizations-2025-02-12.csv
6,2015-08-15,81.71428571428571,2686.5714285714284,643.8571428571429,1.7142857142857142,0.5714285714285714,1.4285714285714286,3.571428571428572,359.57142857142856,817.4285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,90.0,12.0,1.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,hospitalizations-2025-02-12.csv
7,2015-08-22,91.85714285714286,2817.5714285714284,734.1428571428571,2.0,0.7142857142857143,0.8571428571428571,5.714285714285714,411.2857142857143,835.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,0.0,85.0,7.0,11.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,15.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,hospitalizations-2025-02-12.csv
8,2015-08-29,94.28571428571428,2775.428571428572,748.8571428571429,2.2857142857142856,1.4285714285714286,1.7142857142857142,5.0,456.7142857142857,792.7142857142857,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,7.0,66.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,11.0,6.0,74.0,0.0,121.0,9.0,15.0,0.0,0.0,2.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,101.0,301.0,19.0,12.0,0.0,0.0,0.0,0.0,0.0,hospitalizations-2025-02-12.csv
9,2015-09-05,106.71428571428572,2941.0,717.7142857142857,2.571428571428572,1.5714285714285714,1.4285714285714286,7.428571428571429,544.5714285714286,858.5714285714286,0.0,0.0,0.0,0.0,78.0,21.0,0.0,0.0,5.0,16.0,0.0,3.0,0.0,24.0,0.0,0.0,0.0,0.0,13.0,1.0,7.0,0.0,100.0,0.0,11.0,0.0,0.0,39.0,8.0,2.0,0.0,3.0,0.0,37.0,0.0,0.0,26.0,0.0,0.0,,0.0,0.0,8.0,0.0,265.0,703.0,9.0,8.0,3.0,0.0,0.0,0.0,0.0,hospitalizations-2025-02-12.csv
