Date,"Flu","Influenza"
2015-07-01,77,2602
2015-07-02,74,2405
2015-07-03,68,2127
2015-07-04,71,1882
2015-07-05,75,2551
2015-07-06,105,2839
2015-07-07,90,2673
2015-07-08,90,2710
2015-07-09,102,2681
2015-07-10,77,2273
2015-07-11,82,1874
2015-07-12,63,2083
2015-07-13,114,2585
2015-07-14,63,2583
2015-07-15,72,2623
2015-07-16,88,2282
2015-07-17,68,2050
2015-07-18,56,1768
2015-07-19,65,2097
2015-07-20,77,2527
2015-07-21,69,2466
2015-07-22,77,2590
2015-07-23,101,2527
2015-07-24,70,2190
2015-07-25,69,2058
2015-07-26,69,2132
2015-07-27,77,2947
2015-07-28,85,2662
2015-07-29,110,2730
2015-07-30,85,2559
2015-07-31,75,2290
2015-08-01,79,1903
2015-08-02,78,2323
2015-08-03,76,2589
2015-08-04,91,2715
2015-08-05,99,2664
2015-08-06,85,2670
2015-08-07,82,2256
2015-08-08,78,1980
2015-08-09,71,2263
2015-08-10,90,2496
2015-08-11,93,2649
2015-08-12,89,2701
2015-08-13,83,2707
2015-08-14,71,2427
2015-08-15,75,2719
2015-08-16,95,2377
2015-08-17,77,2843
2015-08-18,82,3032
2015-08-19,90,3084
2015-08-20,84,2837
2015-08-21,87,2544
2015-08-22,81,2069
2015-08-23,99,2842
2015-08-24,84,3204
2015-08-25,118,3143
2015-08-26,95,3178
2015-08-27,91,2775
2015-08-28,86,2458
2015-08-29,85,2374
2015-08-30,108,2549
2015-08-31,94,2922
2015-09-01,101,3172
2015-09-02,102,3181
2015-09-03,99,3140
2015-09-04,105,2735
2015-09-05,79,2186
2015-09-06,102,2839
2015-09-07,125,3109
2015-09-08,135,3397
2015-09-09,106,3328
2015-09-10,85,3333
2015-09-11,102,3027
2015-09-12,106,2387
2015-09-13,91,3025
2015-09-14,129,3733
2015-09-15,100,3570
2015-09-16,119,3583
2015-09-17,112,3527
2015-09-18,117,6683
2015-09-19,106,2553
2015-09-20,89,2901
2015-09-21,118,3690
2015-09-22,146,3779
2015-09-23,101,3778
2015-09-24,110,3424
2015-09-25,118,2996
2015-09-26,89,2357
2015-09-27,112,2866
2015-09-28,139,3950
2015-09-29,143,4046
2015-09-30,147,4084
2015-10-01,141,3796
2015-10-02,122,3216
2015-10-03,83,2883
2015-10-04,114,3312
2015-10-05,152,4231
2015-10-06,139,4439
2015-10-07,148,4221
2015-10-08,142,4086
2015-10-09,130,3573
2015-10-10,103,2747
2015-10-11,120,3603
2015-10-12,145,4145
2015-10-13,126,4405
2015-10-14,147,4101
2015-10-15,158,4076
2015-10-16,104,3786
2015-10-17,99,3066
2015-10-18,121,3320
2015-10-19,158,4466
2015-10-20,154,4512
2015-10-21,158,4318
2015-10-22,150,4466
2015-10-23,125,3653
2015-10-24,96,2742
2015-10-25,116,3178
2015-10-26,129,4225
2015-10-27,147,4241
2015-10-28,145,4282
2015-10-29,112,3931
2015-10-30,126,3498
2015-10-31,82,2725
2015-11-01,100,3195
2015-11-02,107,4403
2015-11-03,157,4420
2015-11-04,119,4538
2015-11-05,147,4493
2015-11-06,112,3799
2015-11-07,120,2882
2015-11-08,119,3455
2015-11-09,147,4491
2015-11-10,127,4455
2015-11-11,129,4098
2015-11-12,129,4488
2015-11-13,122,3652
2015-11-14,99,2897
2015-11-15,104,3713
2015-11-16,151,4278
2015-11-17,274,4602
2015-11-18,152,4542
2015-11-19,139,4470
2015-11-20,108,3828
2015-11-21,91,2927
2015-11-22,117,3343
2015-11-23,124,4497
2015-11-24,152,4518
2015-11-25,138,4111
2015-11-26,116,3725
2015-11-27,94,3133
2015-11-28,108,3070
2015-11-29,99,3482
2015-11-30,153,4612
2015-12-01,159,4664
2015-12-02,154,4570
2015-12-03,127,4406
2015-12-04,104,3800
2015-12-05,79,2935
2015-12-06,98,3820
2015-12-07,137,4493
2015-12-08,125,4545
2015-12-09,139,4741
2015-12-10,131,4363
2015-12-11,116,3687
2015-12-12,98,2972
2015-12-13,109,3607
2015-12-14,135,4333
2015-12-15,107,4207
2015-12-16,127,4416
2015-12-17,140,4209
2015-12-18,112,3996
2015-12-19,80,2847
2015-12-20,88,3200
2015-12-21,102,3670
2015-12-22,110,3571
2015-12-23,85,3051
2015-12-24,96,2729
2015-12-25,90,2332
2015-12-26,86,2691
2015-12-27,103,3087
2015-12-28,142,3463
2015-12-29,153,6241
2015-12-30,118,5417
2015-12-31,109,4346
2016-01-01,97,3297
2016-01-02,115,3892
2016-01-03,134,4012
2016-01-04,146,5305
2016-01-05,164,5048
2016-01-06,158,5045
2016-01-07,174,4816
2016-01-08,166,4514
2016-01-09,127,3640
2016-01-10,136,4168
2016-01-11,137,5159
2016-01-12,147,5149
2016-01-13,137,5205
2016-01-14,121,5316
2016-01-15,141,4696
2016-01-16,107,3970
2016-01-17,131,4057
2016-01-18,121,4970
2016-01-19,147,5743
2016-01-20,144,5762
2016-01-21,155,5495
2016-01-22,174,5438
2016-01-23,118,3932
2016-01-24,117,4550
2016-01-25,154,5798
2016-01-26,161,6015
2016-01-27,166,6365
2016-01-28,136,6187
2016-01-29,150,5617
2016-01-30,116,4374
2016-01-31,113,4847
2016-02-01,157,6421
2016-02-02,170,6215
2016-02-03,159,6410
2016-02-04,143,6352
2016-02-05,120,5795
2016-02-06,103,4485
2016-02-07,117,4799
2016-02-08,144,6863
2016-02-09,156,6487
2016-02-10,172,6469
2016-02-11,150,6468
2016-02-12,133,5539
2016-02-13,110,4471
2016-02-14,127,4757
2016-02-15,154,6412
2016-02-16,167,6706
2016-02-17,175,6583
2016-02-18,171,6967
2016-02-19,156,6526
2016-02-20,146,5326
2016-02-21,129,5671
2016-02-22,188,7708
2016-02-23,202,7829
2016-02-24,173,7503
2016-02-25,180,7615
2016-02-26,131,6936
2016-02-27,134,5647
2016-02-28,115,5713
2016-02-29,196,7271
2016-03-01,193,7701
2016-03-02,192,7508
2016-03-03,185,7333
2016-03-04,143,6263
2016-03-05,159,5071
2016-03-06,127,5487
2016-03-07,199,7192
2016-03-08,146,7387
2016-03-09,180,7364
2016-03-10,155,7030
2016-03-11,137,5979
2016-03-12,135,4775
2016-03-13,115,5234
2016-03-14,131,6641
2016-03-15,138,6394
2016-03-16,141,6351
2016-03-17,126,5961
2016-03-18,102,5328
2016-03-19,107,4168
2016-03-20,96,4677
2016-03-21,151,5847
2016-03-22,90,5754
2016-03-23,115,5482
2016-03-24,102,4853
2016-03-25,117,4649
2016-03-26,95,3997
2016-03-27,102,3697
2016-03-28,117,5031
2016-03-29,137,5454
2016-03-30,126,5499
2016-03-31,137,4952
2016-04-01,97,4400
2016-04-02,84,3512
2016-04-03,94,3762
2016-04-04,102,4859
2016-04-05,123,4777
2016-04-06,124,4813
2016-04-07,98,4643
2016-04-08,125,4088
2016-04-09,108,3329
2016-04-10,100,3841
2016-04-11,89,5586
2016-04-12,100,5415
2016-04-13,111,6081
2016-04-14,92,5218
2016-04-15,92,4129
2016-04-16,84,3208
2016-04-17,71,3350
2016-04-18,111,4568
2016-04-19,96,4358
