Week,Average Page Visits per Day
2015-07-01,2439.8571428571427
2015-07-08,2398.4285714285716
2015-07-15,2259.0
2015-07-22,2443.714285714286
2015-07-29,2444.1428571428573
2015-08-05,2425.4285714285716
2015-08-12,2686.5714285714284
2015-08-19,2817.5714285714284
2015-08-26,2775.4285714285716
2015-09-02,2941.0
2015-09-09,3200.4285714285716
2015-09-16,3816.5714285714284
2015-09-23,3345.285714285714
2015-09-30,3708.714285714286
2015-10-07,3825.714285714286
2015-10-14,3903.8571428571427
2015-10-21,3831.8571428571427
2015-10-28,3779.1428571428573
2015-11-04,4016.1428571428573
2015-11-11,3961.1428571428573
2015-11-18,4017.8571428571427
2015-11-25,3828.1428571428573
2015-12-02,4081.285714285714
2015-12-09,3987.1428571428573
2015-12-16,3701.285714285714
2015-12-23,3370.5714285714284
2015-12-30,4473.857142857143
2016-01-06,4641.571428571428
2016-01-13,4851.0
2016-01-20,5284.285714285715
2016-01-27,5718.0
2016-02-03,5884.428571428572
2016-02-10,5831.714285714285
2016-02-17,6658.571428571428
2016-02-24,6912.285714285715
2016-03-02,6605.857142857143
2016-03-09,6202.428571428572
2016-03-16,5440.857142857143
2016-03-23,4737.571428571428
2016-03-30,4537.285714285715
2016-04-06,4530.714285714285
2016-04-13,4416.0
2016-04-20,8489.142857142857
2016-04-27,4364.142857142857
2016-05-04,3620.1428571428573
2016-05-11,3440.4285714285716
2016-05-18,3330.1428571428573
2016-05-25,3010.4285714285716
2016-06-01,2861.8571428571427
2016-06-08,2669.0
2016-06-15,2569.285714285714
2016-06-22,2543.1428571428573
2016-06-29,2352.714285714286
2016-07-06,2352.285714285714
2016-07-13,2361.4285714285716
2016-07-20,2495.4285714285716
2016-07-27,2331.8571428571427
2016-08-03,2383.8571428571427
2016-08-10,2467.714285714286
2016-08-17,2666.5714285714284
2016-08-24,2811.0
2016-08-31,2919.5714285714284
2016-09-07,3368.8571428571427
2016-09-14,3536.4285714285716
2016-09-21,3710.1428571428573
2016-09-28,3744.4285714285716
2016-10-05,3728.0
2016-10-12,3954.8571428571427
2016-10-19,4033.714285714286
2016-10-26,3777.4285714285716
2016-11-02,4050.285714285714
2016-11-09,4202.0
2016-11-16,4258.571428571428
2016-11-23,4101.571428571428
2016-11-30,4385.714285714285
2016-12-07,4492.857142857143
2016-12-14,4370.857142857143
2016-12-21,4506.714285714285
2016-12-28,5310.142857142857
2017-01-04,6671.857142857143
2017-01-11,5916.714285714285
2017-01-18,5639.571428571428
2017-01-25,5632.142857142857
2017-02-01,5973.428571428572
2017-02-08,6154.428571428572
2017-02-15,5958.0
2017-02-22,5694.857142857143
2017-03-01,4828.142857142857
2017-03-08,4467.285714285715
2017-03-15,4211.857142857143
2017-03-22,4103.857142857143
2017-03-29,4030.8571428571427
2017-04-05,3551.4285714285716
2017-04-12,3142.0
2017-04-19,3375.8571428571427
2017-04-26,2953.714285714286
2017-05-03,2939.285714285714
2017-05-10,2906.4285714285716
2017-05-17,2728.714285714286
2017-05-24,2615.5714285714284
2017-05-31,2534.285714285714
2017-06-07,2558.5714285714284
2017-06-14,2486.1428571428573
2017-06-21,2356.285714285714
2017-06-28,2340.714285714286
2017-07-05,2408.714285714286
2017-07-12,2422.285714285714
2017-07-19,2594.285714285714
2017-07-26,2687.4285714285716
2017-08-02,2617.8571428571427
2017-08-09,2669.1428571428573
2017-08-16,2804.285714285714
2017-08-23,2678.285714285714
2017-08-30,2722.4285714285716
2017-09-06,3218.4285714285716
2017-09-13,3503.0
2017-09-20,3463.8571428571427
2017-09-27,3336.8571428571427
2017-10-04,3676.5714285714284
2017-10-11,3827.4285714285716
2017-10-18,6137.714285714285
2017-10-25,3595.714285714286
2017-11-01,3610.5714285714284
2017-11-08,3797.4285714285716
2017-11-15,3906.5714285714284
2017-11-22,3697.8571428571427
2017-11-29,3962.1428571428573
2017-12-06,4373.142857142857
2017-12-13,4673.571428571428
2017-12-20,4611.571428571428
2017-12-27,6386.142857142857
2018-01-03,8569.142857142857
2018-01-10,9424.714285714286
2018-01-17,9315.285714285714
2018-01-24,9490.714285714286
2018-01-31,8636.714285714286
2018-02-07,8117.714285714285
2018-02-14,6678.428571428572
2018-02-21,5604.0
2018-02-28,5026.285714285715
2018-03-07,4645.428571428572
