Week,Average Page Visits per Day
2015-07-01,3.857142857142857
2015-07-08,2.857142857142857
2015-07-15,3.857142857142857
2015-07-22,4.571428571428571
2015-07-29,4.285714285714286
2015-08-05,3.7142857142857144
2015-08-12,4.0
2015-08-19,3.0
2015-08-26,3.5714285714285716
2015-09-02,5.142857142857143
2015-09-09,5.0
2015-09-16,2.857142857142857
2015-09-23,4.142857142857143
2015-09-30,2.857142857142857
2015-10-07,4.0
2015-10-14,4.142857142857143
2015-10-21,5.857142857142857
2015-10-28,10.0
2015-11-04,5.0
2015-11-11,2.7142857142857144
2015-11-18,4.0
2015-11-25,3.5714285714285716
2015-12-02,4.285714285714286
2015-12-09,5.142857142857143
2015-12-16,4.857142857142857
2015-12-23,5.428571428571429
2015-12-30,5.714285714285714
2016-01-06,6.428571428571429
2016-01-13,4.285714285714286
2016-01-20,5.714285714285714
2016-01-27,3.4285714285714284
2016-02-03,5.142857142857143
2016-02-10,4.857142857142857
2016-02-17,5.142857142857143
2016-02-24,6.428571428571429
2016-03-02,7.714285714285714
2016-03-09,6.0
2016-03-16,5.714285714285714
2016-03-23,5.142857142857143
2016-03-30,5.285714285714286
2016-04-06,4.0
2016-04-13,5.857142857142857
2016-04-20,3.857142857142857
2016-04-27,6.714285714285714
2016-05-04,4.714285714285714
2016-05-11,2.857142857142857
2016-05-18,4.428571428571429
2016-05-25,3.7142857142857144
2016-06-01,2.5714285714285716
2016-06-08,4.428571428571429
2016-06-15,2.7142857142857144
2016-06-22,4.428571428571429
2016-06-29,4.0
2016-07-06,3.7142857142857144
2016-07-13,3.4285714285714284
2016-07-20,2.5714285714285716
2016-07-27,3.5714285714285716
2016-08-03,2.142857142857143
2016-08-10,2.7142857142857144
2016-08-17,4.142857142857143
2016-08-24,4.571428571428571
2016-08-31,2.4285714285714284
2016-09-07,3.0
2016-09-14,2.857142857142857
2016-09-21,3.5714285714285716
2016-09-28,3.857142857142857
2016-10-05,3.142857142857143
2016-10-12,2.857142857142857
2016-10-19,4.0
2016-10-26,3.142857142857143
2016-11-02,3.7142857142857144
2016-11-09,3.142857142857143
2016-11-16,4.285714285714286
2016-11-23,3.7142857142857144
2016-11-30,5.0
2016-12-07,4.571428571428571
2016-12-14,6.285714285714286
2016-12-21,5.285714285714286
2016-12-28,8.714285714285714
2017-01-04,5.428571428571429
2017-01-11,3.7142857142857144
2017-01-18,6.0
2017-01-25,4.285714285714286
2017-02-01,6.428571428571429
2017-02-08,3.7142857142857144
2017-02-15,4.857142857142857
2017-02-22,5.428571428571429
2017-03-01,5.285714285714286
2017-03-08,4.142857142857143
2017-03-15,6.428571428571429
2017-03-22,6.0
2017-03-29,5.142857142857143
2017-04-05,3.2857142857142856
2017-04-12,1.4285714285714286
2017-04-19,4.0
2017-04-26,4.428571428571429
2017-05-03,4.285714285714286
2017-05-10,3.0
2017-05-17,3.142857142857143
2017-05-24,3.0
2017-05-31,2.4285714285714284
2017-06-07,2.142857142857143
2017-06-14,3.142857142857143
2017-06-21,2.4285714285714284
2017-06-28,2.4285714285714284
2017-07-05,2.5714285714285716
2017-07-12,1.5714285714285714
2017-07-19,3.0
2017-07-26,1.5714285714285714
2017-08-02,2.142857142857143
2017-08-09,3.142857142857143
2017-08-16,2.0
2017-08-23,2.0
2017-08-30,2.2857142857142856
2017-09-06,3.7142857142857144
2017-09-13,5.428571428571429
2017-09-20,8.0
2017-09-27,6.142857142857143
2017-10-04,8.0
2017-10-11,3.4285714285714284
2017-10-18,9.571428571428571
2017-10-25,9.857142857142858
2017-11-01,18.857142857142858
2017-11-08,14.428571428571429
2017-11-15,15.142857142857142
2017-11-22,18.571428571428573
2017-11-29,19.142857142857142
2017-12-06,22.142857142857142
2017-12-13,17.0
2017-12-20,14.571428571428571
2017-12-27,23.571428571428573
2018-01-03,48.0
2018-01-10,38.857142857142854
2018-01-17,27.142857142857142
2018-01-24,8.857142857142858
2018-01-31,23.428571428571427
2018-02-07,36.42857142857143
2018-02-14,31.142857142857142
2018-02-21,26.857142857142858
2018-02-28,24.857142857142858
2018-03-07,20.285714285714285
2018-03-14,21.857142857142858
2018-03-21,9.0
2018-03-28,2.4285714285714284
2018-04-04,1.5714285714285714
2018-04-11,3.857142857142857
2018-04-18,4.0
2018-04-25,2.5714285714285716
2018-05-02,4.285714285714286
2018-05-09,2.5714285714285716
2018-05-16,1.8571428571428572
2018-05-23,2.0
2018-05-30,1.8571428571428572
2018-06-06,2.142857142857143
2018-06-13,2.142857142857143
2018-06-20,1.8571428571428572
2018-06-27,1.1428571428571428
2018-07-04,2.0
2018-07-11,2.5714285714285716
2018-07-18,1.7142857142857142
2018-07-25,1.1428571428571428
2018-08-01,0.5714285714285714
2018-08-08,2.0
2018-08-15,1.4285714285714286
2018-08-22,3.2857142857142856
2018-08-29,1.4285714285714286
2018-09-05,1.7142857142857142
2018-09-12,3.2857142857142856
2018-09-19,2.142857142857143
2018-09-26,3.4285714285714284
2018-10-03,1.5714285714285714
2018-10-10,1.8571428571428572
2018-10-17,3.0
2018-10-24,1.5714285714285714
2018-10-31,2.5714285714285716
2018-11-07,2.4285714285714284
2018-11-14,1.7142857142857142
2018-11-21,1.8571428571428572
2018-11-28,2.2857142857142856
