Date,"Flu","Influenza","Influenza A virus","Symptoms of influenza","Influenza symptoms","Type A influenza","Flu treatment","Influenza vaccine","Cough"
2015-07-01,77,2602,585,3,1,1,5,350,899
2015-07-02,74,2405,537,3,4,1,2,317,845
2015-07-03,68,2127,470,0,0,0,2,287,796
2015-07-04,71,1882,363,1,0,1,2,220,689
2015-07-05,75,2551,981,1,1,0,0,260,810
2015-07-06,105,2839,775,0,0,1,4,355,923
2015-07-07,90,2673,518,6,2,0,2,372,898
2015-07-08,90,2710,540,4,0,4,3,386,884
2015-07-09,102,2681,529,3,7,0,2,320,895
2015-07-10,77,2273,477,0,0,0,0,310,761
2015-07-11,82,1874,410,1,6,1,5,211,691
2015-07-12,63,2083,398,1,1,1,3,219,714
2015-07-13,114,2585,573,0,1,1,1,326,867
2015-07-14,63,2583,491,0,1,0,5,330,922
2015-07-15,72,2623,462,1,1,1,1,319,830
2015-07-16,88,2282,437,0,0,5,3,342,691
2015-07-17,68,2050,420,2,2,4,1,261,703
2015-07-18,56,1768,380,0,0,0,2,211,648
2015-07-19,65,2097,274,7,0,0,0,250,742
2015-07-20,77,2527,509,0,9,0,3,297,800
2015-07-21,69,2466,510,2,0,0,6,310,876
2015-07-22,77,2590,544,2,1,0,4,375,818
2015-07-23,101,2527,514,1,2,2,2,327,841
2015-07-24,70,2190,495,4,1,0,1,338,714
2015-07-25,69,2058,374,0,1,0,1,236,718
2015-07-26,69,2132,335,7,2,0,4,203,739
2015-07-27,77,2947,521,1,0,0,13,294,787
2015-07-28,85,2662,513,0,0,1,5,375,811
2015-07-29,110,2730,536,1,5,0,2,343,812
2015-07-30,85,2559,522,1,0,0,2,318,739
2015-07-31,75,2290,482,1,0,1,4,331,722
2015-08-01,79,1903,343,3,1,1,1,200,637
2015-08-02,78,2323,433,2,9,0,2,253,700
2015-08-03,76,2589,472,2,0,0,1,314,821
2015-08-04,91,2715,507,0,3,0,5,350,812
2015-08-05,99,2664,534,2,0,0,1,353,802
2015-08-06,85,2670,585,4,5,2,5,370,826
2015-08-07,82,2256,503,2,3,2,5,339,773
2015-08-08,78,1980,380,2,0,2,1,223,687
2015-08-09,71,2263,449,0,3,1,2,264,658
2015-08-10,90,2496,588,4,2,2,1,333,779
2015-08-11,93,2649,589,6,0,0,4,406,848
2015-08-12,89,2701,581,1,0,0,0,402,816
2015-08-13,83,2707,607,1,1,1,4,397,829
2015-08-14,71,2427,528,3,0,1,4,329,701
2015-08-15,75,2719,981,1,0,4,8,302,653
2015-08-16,95,2377,537,1,1,0,4,318,837
2015-08-17,77,2843,594,4,1,2,3,376,992
2015-08-18,82,3032,679,1,1,2,2,393,894
2015-08-19,90,3084,669,1,2,1,8,421,843
2015-08-20,84,2837,715,2,0,0,6,476,807
2015-08-21,87,2544,655,2,0,2,3,367,802
2015-08-22,81,2069,445,3,1,1,5,332,704
2015-08-23,99,2842,950,1,2,0,3,311,826
2015-08-24,84,3204,896,3,0,0,8,461,910
2015-08-25,118,3143,809,2,0,2,7,511,953
2015-08-26,95,3178,800,0,1,1,7,519,905
2015-08-27,91,2775,713,3,0,2,4,499,785
2015-08-28,86,2458,644,4,3,1,5,451,755
2015-08-29,85,2374,935,0,2,0,4,343,663
2015-08-30,108,2549,596,0,1,5,5,346,720
2015-08-31,94,2922,725,4,0,1,0,494,818
2015-09-01,101,3172,829,5,3,2,10,545,903
2015-09-02,102,3181,721,2,1,2,5,582,935
2015-09-03,99,3140,678,1,3,2,21,696,864
2015-09-04,105,2735,704,7,1,0,6,571,830
2015-09-05,79,2186,463,3,1,0,1,379,718
2015-09-06,102,2839,804,3,2,4,3,390,823
2015-09-07,125,3109,793,2,1,2,6,524,930
2015-09-08,135,3397,861,0,2,0,10,670,910
2015-09-09,106,3328,842,4,1,1,3,645,940
2015-09-10,85,3333,784,1,1,1,7,701,935
2015-09-11,102,3027,696,3,3,1,5,643,924
2015-09-12,106,2387,488,1,0,1,2,467,729
2015-09-13,91,3025,897,0,2,1,1,455,810
2015-09-14,129,3733,805,2,1,1,5,739,971
2015-09-15,100,3570,811,14,1,0,10,835,971
2015-09-16,119,3583,838,4,1,2,9,869,912
2015-09-17,112,3527,705,1,2,1,7,864,943
2015-09-18,117,6683,588,1,1,2,2,814,962
2015-09-19,106,2553,434,2,0,1,4,494,776
2015-09-20,89,2901,498,4,2,0,10,549,761
2015-09-21,118,3690,662,4,0,1,6,839,947
2015-09-22,146,3779,706,4,0,0,8,965,871
2015-09-23,101,3778,990,1,0,0,7,886,941
2015-09-24,110,3424,719,1,0,1,4,906,828
2015-09-25,118,2996,586,1,2,0,0,1007,723
2015-09-26,89,2357,472,2,0,0,0,696,822
2015-09-27,112,2866,423,2,3,0,0,707,800
2015-09-28,139,3950,603,2,1,0,0,1139,964
2015-09-29,143,4046,627,1,0,0,0,1432,879
2015-09-30,147,4084,714,2,2,0,0,1389,871
2015-10-01,141,3796,621,0,5,0,2,1357,934
2015-10-02,122,3216,654,2,3,0,3,1271,770
2015-10-03,83,2883,725,1,17,0,0,901,804
2015-10-04,114,3312,565,1,11,0,4,896,907
2015-10-05,152,4231,635,2,4,0,4,1517,1019
2015-10-06,139,4439,765,4,2,1,0,1844,1040
2015-10-07,148,4221,727,4,3,0,1,1975,1013
2015-10-08,142,4086,657,0,1,0,1,1842,947
2015-10-09,130,3573,547,0,3,0,0,1501,894
2015-10-10,103,2747,402,2,2,0,0,1063,811
2015-10-11,120,3603,738,1,0,0,2,952,894
2015-10-12,145,4145,721,0,1,0,0,1465,1014
2015-10-13,126,4405,651,3,2,0,0,1677,1044
2015-10-14,147,4101,688,0,3,0,1,1732,1012
2015-10-15,158,4076,690,0,1,0,2,1595,975
2015-10-16,104,3786,655,3,1,0,1,1554,866
2015-10-17,99,3066,410,0,1,0,1,1071,836
2015-10-18,121,3320,814,0,2,0,1,937,893
2015-10-19,158,4466,744,0,1,0,0,1473,1018
2015-10-20,154,4512,723,1,2,0,5,1632,948
