,State,ARIMA_RMSE,ARIMAX_RMSE,Difference,Better_Model
0,Alabama,44.78,44.53,-0.25,ARIMAX
1,Alaska,7.94,8.32,0.38,ARIMA
2,Arizona,77.19,73.18,-4.0,ARIMAX
3,Arkansas,37.08,36.89,-0.19,ARIMAX
4,California,227.85,230.13,2.28,ARIMA
5,Colorado,40.8,1426.84,1386.05,ARIMA
6,Connecticut,42.76,43.93,1.17,ARIMA
7,Delaware,11.84,11.52,-0.32,ARIMAX
8,Florida,123.09,121.64,-1.45,ARIMAX
9,Georgia,105.23,100.56,-4.67,ARIMAX
10,Hawaii,6.48,6.55,0.07,ARIMA
11,Idaho,26.39,28.37,1.98,ARIMA
12,Illinois,74.88,71.65,-3.24,ARIMAX
13,Indiana,66.99,65.5,-1.5,ARIMAX
14,Iowa,27.12,28.26,1.14,ARIMA
15,Kansas,27.26,28.07,0.8,ARIMA
16,Kentucky,65.19,65.31,0.12,ARIMA
17,Louisiana,41.99,40.89,-1.1,ARIMAX
18,Maine,18.41,18.86,0.45,ARIMA
19,Maryland,35.05,33.63,-1.42,ARIMAX
20,Massachusetts,63.13,62.83,-0.3,ARIMAX
21,Michigan,91.61,93.24,1.63,ARIMA
22,Minnesota,36.47,33.54,-2.94,ARIMAX
23,Mississippi,30.62,29.29,-1.33,ARIMAX
24,Missouri,70.21,72.96,2.75,ARIMA
25,Montana,15.65,14.18,-1.46,ARIMAX
26,Nebraska,14.87,15.69,0.82,ARIMA
27,Nevada,41.03,40.05,-0.99,ARIMAX
28,New Hampshire,11.86,11.97,0.11,ARIMA
29,New Jersey,92.08,91.67,-0.41,ARIMAX
30,New Mexico,32.78,34.02,1.24,ARIMA
31,New York,109.53,106.71,-2.82,ARIMAX
32,North Carolina,89.45,84.97,-4.48,ARIMAX
33,North Dakota,9.37,8.96,-0.41,ARIMAX
34,Ohio,92.67,88.03,-4.64,ARIMAX
35,Oklahoma,70.46,72.32,1.86,ARIMA
36,Oregon,52.59,50.81,-1.78,ARIMAX
37,Pennsylvania,110.42,109.84,-0.57,ARIMAX
38,Puerto Rico,17.74,18.0,0.26,ARIMA
39,Rhode Island,8.1,8.58,0.47,ARIMA
40,South Carolina,55.79,52.23,-3.56,ARIMAX
41,South Dakota,11.69,11.38,-0.31,ARIMAX
42,Tennessee,60.84,66.37,5.53,ARIMA
43,Texas,161.95,155.86,-6.09,ARIMAX
44,Utah,10.71,9.6,-1.11,ARIMAX
45,Vermont,7.49,7.57,0.08,ARIMA
46,Virginia,68.81,66.48,-2.33,ARIMAX
47,Washington,65.86,70.65,4.79,ARIMA
48,West Virginia,27.0,27.06,0.06,ARIMA
49,Wisconsin,44.1,45.86,1.76,ARIMA
50,Wyoming,11.57,11.35,-0.22,ARIMAX
