Week,Average Page Visits per Day
2015-07-01,604.1428571428571
2015-07-08,488.2857142857143
2015-07-15,427.42857142857144
2015-07-22,470.85714285714283
2015-07-29,470.7142857142857
2015-08-05,518.2857142857143
2015-08-12,643.8571428571429
2015-08-19,734.1428571428571
2015-08-26,748.8571428571429
2015-09-02,717.7142857142857
2015-09-09,760.4285714285714
2015-09-16,633.0
2015-09-23,631.4285714285714
2015-09-30,668.4285714285714
2015-10-07,634.7142857142857
2015-10-14,674.8571428571429
2015-10-21,653.8571428571429
2015-10-28,581.4285714285714
2015-11-04,586.4285714285714
2015-11-11,624.1428571428571
2015-11-18,569.8571428571429
2015-11-25,523.8571428571429
2015-12-02,635.5714285714286
2015-12-09,666.1428571428571
2015-12-16,595.1428571428571
2015-12-23,562.5714285714286
2015-12-30,711.8571428571429
2016-01-06,912.4285714285714
2016-01-13,1163.2857142857142
2016-01-20,1359.4285714285713
2016-01-27,1820.142857142857
2016-02-03,2008.4285714285713
2016-02-10,2042.5714285714287
2016-02-17,2594.714285714286
2016-02-24,2826.714285714286
2016-03-02,2818.714285714286
2016-03-09,2833.285714285714
2016-03-16,2104.1428571428573
2016-03-23,1833.5714285714287
2016-03-30,1506.7142857142858
2016-04-06,1292.0
2016-04-13,1107.7142857142858
2016-04-20,909.1428571428571
2016-04-27,677.8571428571429
2016-05-04,622.1428571428571
2016-05-11,595.2857142857143
2016-05-18,503.14285714285717
2016-05-25,456.2857142857143
2016-06-01,447.85714285714283
2016-06-08,457.0
2016-06-15,429.42857142857144
2016-06-22,394.57142857142856
2016-06-29,420.42857142857144
2016-07-06,441.0
2016-07-13,475.0
2016-07-20,568.0
2016-07-27,604.7142857142857
2016-08-03,680.8571428571429
2016-08-10,714.0
2016-08-17,918.8571428571429
2016-08-24,1115.2857142857142
2016-08-31,881.7142857142857
2016-09-07,1020.8571428571429
2016-09-14,824.8571428571429
2016-09-21,718.2857142857143
2016-09-28,581.5714285714286
2016-10-05,536.7142857142857
2016-10-12,550.8571428571429
2016-10-19,580.2857142857143
2016-10-26,671.0
2016-11-02,617.2857142857143
2016-11-09,671.2857142857143
2016-11-16,670.0
2016-11-23,656.8571428571429
2016-11-30,733.8571428571429
2016-12-07,1102.4285714285713
2016-12-14,1272.2857142857142
2016-12-21,1574.857142857143
2016-12-28,2114.0
2017-01-04,2624.1428571428573
2017-01-11,2334.285714285714
2017-01-18,2754.285714285714
2017-01-25,2948.5714285714284
2017-02-01,3743.4285714285716
2017-02-08,4169.142857142857
2017-02-15,3756.714285714286
2017-02-22,2958.8571428571427
2017-03-01,2221.1428571428573
2017-03-08,1666.5714285714287
2017-03-15,1475.142857142857
2017-03-22,1412.7142857142858
2017-03-29,1150.5714285714287
2017-04-05,1065.4285714285713
2017-04-12,892.7142857142857
2017-04-19,780.4285714285714
2017-04-26,665.5714285714286
2017-05-03,623.0
2017-05-10,654.0
2017-05-17,683.4285714285714
2017-05-24,609.2857142857143
2017-05-31,629.2857142857143
2017-06-07,572.0
2017-06-14,533.8571428571429
2017-06-21,536.0
2017-06-28,561.8571428571429
2017-07-05,647.5714285714286
2017-07-12,731.0
2017-07-19,763.0
2017-07-26,930.1428571428571
2017-08-02,837.2857142857143
2017-08-09,886.1428571428571
2017-08-16,865.7142857142857
2017-08-23,820.4285714285714
2017-08-30,826.0
2017-09-06,754.5714285714286
2017-09-13,789.7142857142857
2017-09-20,819.5714285714286
2017-09-27,786.8571428571429
2017-10-04,731.5714285714286
2017-10-11,841.2857142857143
2017-10-18,742.4285714285714
2017-10-25,690.1428571428571
2017-11-01,763.1428571428571
2017-11-08,822.4285714285714
2017-11-15,909.1428571428571
2017-11-22,889.1428571428571
